date,commercial_price_inr,year,month,price_lag1,price_lag2,price_mom_change
2018-04-01,1176.5,2018,4,,,0.0
2018-05-01,1187.25,2018,5,1176.5,,10.75
2018-06-01,1198.0,2018,6,1187.25,1176.5,10.75
2018-07-01,1208.75,2018,7,1198.0,1187.25,10.75
2018-08-01,1219.5,2018,8,1208.75,1198.0,10.75
2018-09-01,1230.25,2018,9,1219.5,1208.75,10.75
2018-10-01,1241.0,2018,10,1230.25,1219.5,10.75
2018-11-01,1251.75,2018,11,1241.0,1230.25,10.75
2018-12-01,1262.5,2018,12,1251.75,1241.0,10.75
2019-01-01,1273.25,2019,1,1262.5,1251.75,10.75
2019-02-01,1284.0,2019,2,1273.25,1262.5,10.75
2019-03-01,1294.75,2019,3,1284.0,1273.25,10.75
2019-04-01,1305.5,2019,4,1294.75,1284.0,10.75
2019-05-01,1303.8333333333333,2019,5,1305.5,1294.75,-1.6666666666667425
2019-06-01,1302.1666666666667,2019,6,1303.8333333333333,1305.5,-1.666666666666515
2019-07-01,1300.5,2019,7,1302.1666666666667,1303.8333333333333,-1.6666666666667425
2019-08-01,1298.8333333333333,2019,8,1300.5,1302.1666666666667,-1.6666666666667425
2019-09-01,1297.1666666666667,2019,9,1298.8333333333333,1300.5,-1.666666666666515
2019-10-01,1295.5,2019,10,1297.1666666666667,1298.8333333333333,-1.6666666666667425
2019-11-01,1293.8333333333333,2019,11,1295.5,1297.1666666666667,-1.6666666666667425
2019-12-01,1292.1666666666667,2019,12,1293.8333333333333,1295.5,-1.666666666666515
2020-01-01,1290.5,2020,1,1292.1666666666667,1293.8333333333333,-1.6666666666667425
2020-02-01,1288.8333333333333,2020,2,1290.5,1292.1666666666667,-1.6666666666667425
2020-03-01,1287.1666666666667,2020,3,1288.8333333333333,1290.5,-1.666666666666515
2020-04-01,1285.5,2020,4,1287.1666666666667,1288.8333333333333,-1.6666666666667425
2020-05-01,1315.125,2020,5,1285.5,1287.1666666666667,29.625
2020-06-01,1344.75,2020,6,1315.125,1285.5,29.625
2020-07-01,1374.375,2020,7,1344.75,1315.125,29.625
2020-08-01,1404.0,2020,8,1374.375,1344.75,29.625
2020-09-01,1433.625,2020,9,1404.0,1374.375,29.625
2020-10-01,1463.25,2020,10,1433.625,1404.0,29.625
2020-11-01,1492.875,2020,11,1463.25,1433.625,29.625
2020-12-01,1522.5,2020,12,1492.875,1463.25,29.625
2021-01-01,1552.125,2021,1,1522.5,1492.875,29.625
2021-02-01,1581.75,2021,2,1552.125,1522.5,29.625
2021-03-01,1611.375,2021,3,1581.75,1552.125,29.625
2021-04-01,1641.0,2021,4,1611.375,1581.75,29.625
2021-05-01,1692.0,2021,5,1641.0,1611.375,51.0
2021-06-01,1743.0,2021,6,1692.0,1641.0,51.0
2021-07-01,1794.0,2021,7,1743.0,1692.0,51.0
2021-08-01,1845.0,2021,8,1794.0,1743.0,51.0
2021-09-01,1896.0,2021,9,1845.0,1794.0,51.0
2021-10-01,1947.0,2021,10,1896.0,1845.0,51.0
2021-11-01,1998.0,2021,11,1947.0,1896.0,51.0
2021-12-01,2049.0,2021,12,1998.0,1947.0,51.0
2022-01-01,2100.0,2022,1,2049.0,1998.0,51.0
2022-02-01,2151.0,2022,2,2100.0,2049.0,51.0
2022-03-01,2202.0,2022,3,2151.0,2100.0,51.0
2022-04-01,2253.0,2022,4,2202.0,2151.0,51.0
2022-05-01,2234.25,2022,5,2253.0,2202.0,-18.75
2022-06-01,2215.5,2022,6,2234.25,2253.0,-18.75
2022-07-01,2196.75,2022,7,2215.5,2234.25,-18.75
2022-08-01,2178.0,2022,8,2196.75,2215.5,-18.75
2022-09-01,2159.25,2022,9,2178.0,2196.75,-18.75
2022-10-01,2140.5,2022,10,2159.25,2178.0,-18.75
2022-11-01,2121.75,2022,11,2140.5,2159.25,-18.75
2022-12-01,2103.0,2022,12,2121.75,2140.5,-18.75
2023-01-01,2084.25,2023,1,2103.0,2121.75,-18.75
2023-02-01,2065.5,2023,2,2084.25,2103.0,-18.75
2023-03-01,2046.75,2023,3,2065.5,2084.25,-18.75
2023-04-01,2028.0,2023,4,2046.75,2065.5,-18.75
2023-05-01,2028.0,2023,5,2028.0,2046.75,0.0
2023-06-01,2028.0,2023,6,2028.0,2028.0,0.0
2023-07-01,2028.0,2023,7,2028.0,2028.0,0.0
2023-08-01,2028.0,2023,8,2028.0,2028.0,0.0
2023-09-01,2028.0,2023,9,2028.0,2028.0,0.0
2023-10-01,2028.0,2023,10,2028.0,2028.0,0.0
2023-11-01,2028.0,2023,11,2028.0,2028.0,0.0
2023-12-01,2028.0,2023,12,2028.0,2028.0,0.0
2024-01-01,2028.0,2024,1,2028.0,2028.0,0.0
2024-02-01,2028.0,2024,2,2028.0,2028.0,0.0
2024-03-01,2028.0,2024,3,2028.0,2028.0,0.0
