feature,consumption,cylinders,stockout
kg_per_guest,0.34758189343946394,0.3457534531139165,0.13383228741602726
kg_per_burner_hr,0.007437540568005134,0.009377287742692387,0.11788186575947414
event_scale,0.017337640901707422,0.019503631113806933,0.0842409273061401
festival_name_enc,4.9763433141640714e-06,6.7503194203331915e-06,0.08232147768383381
log_headcount,0.31874710442711024,0.30733299527699964,0.07152330581945547
month_cos,0.00010409523441188999,1.8797209001667257e-05,0.06695365432907543
headcount,0.30763780551521785,0.3167182754060348,0.06089853770244537
price_surge_flag,0.0,0.0,0.059683711242108924
temp_mean_c,4.97739687727162e-05,3.1167913606875355e-05,0.04542272531555729
precipitation_mm,2.4564605951562894e-05,6.825362719372075e-05,0.0419924625618546
num_burners,0.0002300529588591593,0.00027938574819038144,0.036603758538010144
business_size_enc,2.9170725418341448e-05,0.00010422900296062237,0.027761221542925898
duration_hrs,4.063008612435542e-05,1.9086306336189413e-05,0.026521653653012456
price_lag2_inr,1.0573407313468666e-05,6.8975051848024746e-06,0.012533579795290059
covid_period,1.4421398938664643e-05,8.539851743132684e-06,0.01077408963613949
event_type_enc,4.175143402951745e-06,6.681286217956642e-06,0.010352686442843498
menu_profile_enc,0.00018698389742003742,0.0003347055868740636,0.009941955065623186
wedding_season,0.0,2.13469074870148e-06,0.009643919491580359
etype_dhaba_daily,0.0,0.0,0.009181472264223566
dish_load,4.430721668053262e-06,3.550428383845774e-05,0.008473172949450526
price_lag1_inr,1.497920507560303e-06,2.9860351362178206e-05,0.007077071113917408
month_sin,7.465585108418644e-07,6.404363820122799e-06,0.006782149429634587
price_mom_change_inr,4.567153855277154e-06,1.081442386115345e-05,0.005823857573606899
festival_flag,0.0,1.7194926441114943e-07,0.005589071125635924
is_monsoon,0.0,2.627352960517276e-07,0.005569704451370597
num_dishes,2.9488080760633857e-06,2.963138842668282e-05,0.005415515925539839
heat_stress,0.0,0.0,0.005331156925329135
commercial_price_inr,2.3526859132278748e-05,8.119547356354573e-06,0.00524105105805895
price_index,1.524307859529958e-06,1.0803144891145627e-05,0.004592724913375132
etype_wedding,3.9499819320647846e-07,0.0,0.004184587329914031
etype_hospital_canteen,0.0,1.6507851095665854e-06,0.0034826508640191144
demand_multiplier,4.6256179495307797e-05,3.951772660900897e-05,0.00286646024655779
etype_college_canteen,0.0,0.0,0.0017633449842247796
gas_intensity_per_serving,0.00014766230333263647,0.00012637206961337298,0.0017566402701584159
avg_cook_time_mins,0.00011611369263772173,8.79811068708185e-07,0.001570807838916045
etype_festival_event,2.6414508465695134e-07,4.554699941989753e-07,0.0015242856004038798
etype_school_canteen,0.0,0.0,0.0014234520039766703
etype_corporate_lunch,6.452898291900881e-07,3.0826910683644824e-07,0.0012582536576079444
etype_birthday_party,8.11269488012613e-09,0.0,0.0012563350515326986
season_intensity,0.0001691247483075215,3.380780816465522e-05,0.000952415121148639
experience_yrs,3.888557938340985e-05,9.054472125020942e-05,0.0
novice_peak_season,0.0,2.6194500382017974e-06,0.0
